"ID","TAG_NAME","CREATED_BY","CREATED_ON","UPDATED_BY","UPDATED_ON"
"153110770886744541107330509401835242958","Education","nexus_hacksolve","08/11/2018","nexus_hacksolve","08/11/2018"
"153110770886745750033150124031009949134","Healthcare","nexus_hacksolve","08/11/2018","nexus_hacksolve","08/11/2018"
"153110770886746958958969738660184655310","Infrastructure","nexus_hacksolve","08/11/2018","nexus_hacksolve","08/11/2018"
"153110770886748167884789353289359361486","Finance","nexus_hacksolve","08/11/2018","nexus_hacksolve","08/11/2018"
"153110770886749376810608967918534067662","Oil and Gas","nexus_hacksolve","08/11/2018","nexus_hacksolve","08/11/2018"
"153197296812930822496905108792041897020","Technology","nexus_hacksolve","08/12/2018","nexus_hacksolve","08/12/2018"
